Date,IEFA,IEMG,IJH,IJR,IVV,IWF,IWM,QQQ,RSP,SCHD,SPY,VEA,VGT,VIG,VO,VOO,VTI,VTV,VUG,VWO,VXUS,XLE,XLF,XLG,XLK
2023-04-25,63.60794448852539,44.57931900024414,47.631263732910156,89.70755767822266,397.6490478515625,236.84158325195312,169.15847778320312,306.51800537109375,138.75804138183594,23.831083297729492,396.44183349609375,43.02116394042969,364.0727844238281,149.955810546875,199.93563842773438,363.9197082519531,196.66311645507812,133.24203491210938,240.7005157470703,36.69934844970703,51.920631408691406,79.8648910522461,31.624448776245117,30.355226516723633,142.07290649414062
2023-04-26,63.60794448852539,44.89942169189453,47.20417022705078,88.87416076660156,396.030517578125,237.64324951171875,167.52615356445312,308.37689208984375,137.3093719482422,23.477710723876953,394.76263427734375,43.03057098388672,368.91522216796875,148.6786651611328,198.13377380371094,362.30059814453125,195.77566528320312,131.52830505371094,241.87896728515625,36.95199203491211,51.98629379272461,78.79888916015625,31.323448181152344,30.40545082092285,144.18472290039062
2023-04-27,64.40363311767578,45.51138687133789,47.94718551635742,90.25993347167969,403.8892822265625,242.48281860351562,169.7644805908203,316.7619323730469,139.56495666503906,23.71879768371582,402.6216735839844,43.57585906982422,375.90216064453125,151.11683654785156,201.03997802734375,369.48919677734375,199.45225524902344,133.39524841308594,247.6721954345703,37.42921829223633,52.65230178833008,79.08190155029297,31.828351974487305,31.12531089782715,147.24388122558594
2023-04-28,64.37554168701172,45.73734664916992,48.40353012084961,91.09335327148438,407.2336730957031,244.28404235839844,171.25022888183594,318.94720458984375,141.11085510253906,23.966487884521484,406.0580749511719,43.585262298583984,379.8453674316406,152.45201110839844,202.7449188232422,372.6495056152344,201.1881561279297,134.5728302001953,249.5834503173828,37.65379333496094,52.764869689941406,80.30826568603516,32.207035064697266,31.350820541381836,148.84251403808594
2023-05-01,64.31001281738281,45.586708068847656,48.38988494873047,91.06428527832031,406.941162109375,244.28404235839844,171.3479766845703,318.58135986328125,140.9844512939453,23.98630142211914,405.6480407714844,43.54764938354492,380.24066162109375,152.56808471679688,202.58993530273438,372.3959045410156,201.09060668945312,134.67816162109375,249.2269287109375,37.53214645385742,52.66168212890625,79.40264129638672,32.11964797973633,31.338016510009766,148.93133544921875
2023-05-02,63.654747009277344,45.18186950683594,47.70146179199219,89.3683853149414,402.3876953125,242.09683227539062,167.82913208007812,315.8028259277344,138.8746795654297,23.484315872192383,401.0888671875,43.086978912353516,375.98126220703125,151.1748809814453,199.49000549316406,368.2212219238281,198.633056640625,132.70590209960938,247.0780029296875,37.13914108276367,52.108238220214844,75.949951171875,31.391422271728516,31.05637550354004,147.5399169921875
2023-05-03,63.83260726928711,45.1253776550293,47.65076446533203,89.3974609375,399.49188232421875,240.88941955566406,168.44493103027344,313.7362365722656,138.0677490234375,23.276256561279297,398.3358154296875,43.17159652709961,373.3229064941406,150.05255126953125,198.5794219970703,365.6558837890625,197.47254943847656,131.61444091796875,245.7707977294922,37.129783630371094,52.17390060424805,74.51602935791016,31.03215789794922,30.871240615844727,146.29652404785156
2023-05-04,63.72027587890625,45.4925537109375,46.85703659057617,88.32178497314453,396.7032775878906,239.58302307128906,166.5584259033203,312.6288146972656,136.75521850585938,23.05828857421875,395.5144348144531,43.10578155517578,371.81085205078125,148.90122985839844,197.18443298339844,362.9833679199219,195.99996948242188,130.4560089111328,244.552734375,37.44793701171875,52.267704010009766,73.68587493896484,30.63405990600586,30.680200576782227,145.5958709716797
2023-05-05,64.63766479492188,46.04803466796875,47.839927673339844,90.45375061035156,403.9575500488281,244.58094787597656,170.51710510253906,319.27349853515625,139.05941772460938,23.444686889648438,402.83642578125,43.80148696899414,381.6439208984375,151.21356201171875,200.41998291015625,369.6452941894531,199.61802673339844,132.50485229492188,249.64285278320312,37.85029602050781,53.01814651489258,75.68580627441406,31.391422271728516,31.303550720214844,149.24713134765625
2023-05-08,64.68446350097656,46.04803466796875,47.70927047729492,90.05642700195312,404.1720275878906,244.98670959472656,170.12615966796875,320.06451416015625,138.806640625,23.322492599487305,402.9437561035156,43.82029342651367,382.04913330078125,151.000732421875,200.27471923828125,369.85009765625,199.8325958251953,132.38040161132812,250.35585021972656,37.85964584350586,53.0556640625,75.68580627441406,31.43996810913086,31.36362075805664,149.16818237304688
2023-05-09,64.40363311767578,45.75617599487305,47.52205276489258,89.52342987060547,402.5242614746094,243.8980712890625,169.61788940429688,318.0374755859375,138.2913360595703,23.23662567138672,401.1767578125,43.65106201171875,379.2720947265625,150.45889282226562,199.66436767578125,368.2504577636719,199.01339721679688,131.87295532226562,249.2269287109375,37.62571716308594,52.811767578125,75.71409606933594,31.323448181152344,31.187347412109375,148.02345275878906
2023-05-10,64.30066680908203,45.78441619873047,47.60591125488281,89.84324645996094,404.2208251953125,246.20404052734375,170.47804260253906,321.4983215332031,138.2718963623047,23.190391540527344,403.0511779785156,43.585262298583984,383.4030456542969,150.64273071289062,200.12939453125,369.8598327636719,199.89109802246094,131.6431884765625,251.83139038085938,37.63507843017578,52.77424621582031,74.85565185546875,31.148679733276367,31.429601669311523,149.82933044433594
2023-05-11,64.11343383789062,45.5584602355957,47.30558395385742,89.23271942138672,403.6163330078125,246.411865234375,169.1682586669922,322.54638671875,137.5816192626953,23.0880126953125,402.3482666015625,43.3878288269043,381.7823486328125,150.16867065429688,199.13157653808594,369.3428649902344,199.62779235839844,131.087890625,252.01956176757812,37.4853630065918,52.54911804199219,73.9594497680664,31.100126266479492,31.466033935546875,149.15830993652344
2023-05-12,64.00111389160156,45.07830810546875,47.31142807006836,88.97106170654297,403.0897521972656,245.8576202392578,168.82615661621094,321.3895263671875,137.5913543701172,23.134248733520508,401.8210754394531,43.2938117980957,381.0213317871094,150.2751007080078,199.0637664794922,368.845458984375,199.15968322753906,131.0591583251953,251.19761657714844,37.06428146362305,52.314605712890625,74.0726547241211,30.973899841308594,31.387252807617188,148.9609375
2023-05-15,64.50660705566406,45.85032272338867,47.70536804199219,89.95952606201172,404.425537109375,246.74835205078125,170.88858032226562,323.1298828125,138.369140625,23.183786392211914,403.2073974609375,43.66986846923828,384.2331237792969,150.48793029785156,200.41998291015625,370.1231689453125,200.00811767578125,131.489990234375,252.16810607910156,37.70993423461914,52.86805725097656,74.44999694824219,31.22635269165039,31.43846321105957,150.19447326660156
2023-05-16,63.907493591308594,45.539634704589844,47.005252838134766,88.7675552368164,401.7247314453125,246.154541015625,168.3960418701172,323.49566650390625,136.41493225097656,22.846927642822266,400.5129089355469,43.21860122680664,383.97625732421875,149.0850372314453,197.16506958007812,367.67498779296875,198.45753479003906,129.85284423828125,251.79177856445312,37.44793701171875,52.37089538574219,72.61988067626953,30.935062408447266,31.430587768554688,150.3523712158203
2023-05-17,64.16024780273438,45.76559066772461,47.8243293762207,90.89952850341797,406.5998840332031,249.08401489257812,172.1494903564453,327.41131591796875,138.1455078125,23.173877716064453,405.3746643066406,43.44422912597656,389.5993957519531,150.54600524902344,199.51905822753906,372.0642395019531,201.0321044921875,131.35594177246094,254.93101501464844,37.57893753051758,52.642921447753906,74.01605224609375,31.556476593017578,31.78608512878418,152.35562133789062
2023-05-18,64.03855895996094,45.549049377441406,48.23386764526367,91.7232437133789,410.53900146484375,252.69635009765625,173.1953887939453,333.4924011230469,139.2635955810547,23.289466857910156,409.2797546386719,43.359619140625,397.24847412109375,151.47479248046875,201.39840698242188,375.7024841308594,203.0312957763672,131.7772216796875,258.9812927246094,37.345001220703125,52.47407531738281,74.55376434326172,31.789514541625977,32.14650344848633,155.47396850585938
2023-05-19,64.4129867553711,45.57728958129883,47.78532791137695,91.03520965576172,409.94427490234375,252.07284545898438,172.1397247314453,332.740966796875,138.89414978027344,23.312585830688477,408.6842041015625,43.622867584228516,396.52703857421875,151.3297119140625,200.7396697998047,375.1075134277344,202.54371643066406,131.7772216796875,258.2088623046875,37.32628631591797,52.65230178833008,75.12921905517578,31.653579711914062,32.11400604248047,155.40489196777344
2023-05-22,64.42235565185547,45.93505859375,48.04275131225586,91.73294830322266,410.061279296875,252.3499755859375,174.2412567138672,333.8583068847656,139.10804748535156,23.315887451171875,408.8502197265625,43.66046905517578,397.544921875,150.62338256835938,201.70840454101562,375.31231689453125,202.89479064941406,131.55703735351562,258.9021301269531,37.569580078125,52.811767578125,74.81790924072266,31.711835861206055,32.11400604248047,155.70094299316406
2023-05-23,63.495609283447266,45.285430908203125,47.5649528503418,91.61665344238281,405.57611083984375,248.7969970703125,173.420166015625,329.6261901855469,137.62049865722656,23.309282302856445,404.2617492675781,43.049373626708984,391.4869689941406,149.0753631591797,199.2284698486328,371.1181640625,200.74929809570312,130.81982421875,254.9013214111328,37.00813674926758,52.042572021484375,75.61975860595703,31.34286880493164,31.77328109741211,153.40164184570312
2023-05-24,62.559513092041016,45.02181625366211,47.10276412963867,90.49250793457031,402.53399658203125,247.35206604003906,171.58258056640625,327.93536376953125,136.1232452392578,23.0880126953125,401.3329162597656,42.43827819824219,389.0657653808594,147.7788848876953,197.20382690429688,368.3382568359375,199.19869995117188,129.56561279296875,253.5050048828125,36.74613571166992,51.4234733581543,75.949951171875,30.935062408447266,31.635414123535156,152.27667236328125
